438357 396759
179461 382478
148889 349765
177492 384855
182752 380884
215795 349229
150499 349356
143230 346783
450245 405368
180053 380292
180276 379325
213573 350729
149448 347970
147151 350324
181788 377823
180508 380973
207083 351359
177930 372679
208820 349873
145971 353542
175262 378918
213465 349690
211720 352307
541436 431054
179164 380303
209148 356706
433145 390448
544105 311260
210586 348364
205693 347570
145899 357764
507539 372518
151246 351106
154137 353267
188546 382010
183859 384530
206942 347336
209560 352652
150124 349928
150510 352925
150292 345959
147899 348507
155384 347087
213471 353345
178901 384425
157656 349266
204821 349135
204694 348606
211816 355436
212079 350718
179102 371915
212008 349589
179574 386730
206905 344326
210282 351073
216370 346725
180995 377968
185225 385067
209148 349685
176699 381453
218301 352627
211079 346833
213153 340414
145820 349949
538411 414985
176754 383731
156931 349657
149712 356740
182532 378275
155003 353162
144230 347123
210089 347010
144805 346505
180661 377893
548113 411259
218657 347373
150337 345405
151072 348344
177065 381617
214765 346242
183385 383243
177055 380794
177140 388817
450304 382109
184117 376195
146769 351200
207711 348589
150965 351230
183746 376107
218723 353849
207039 352002
207801 353580
183951 380846
175256 389541
183104 377504
150304 354300
182444 382569
153572 352772
182964 375749
212507 352231
213359 353502
157942 352551
179703 379235
181802 380553
181282 382906
145239 353172
149280 351558
176379 381660
172967 374225
208586 351246
147269 352720
207651 342291
538174 302204
179225 377088
177416 382891
179238 378938
207627 357815
525047 387507
148218 349203
149496 346179
147308 349874
177007 383888
185000 380948
145374 352153
155696 351696
155170 354904
183392 381112
430524 306071
180305 381908
175629 382920
446183 294065
205449 350836
214357 349952
183560 385008
214988 346621
208469 352064
211556 348416
150852 353765
208769 347908
179036 380497
203929 346075
180717 378697
181095 376812
213706 343270
209534 349282
202521 349129
202982 352517
208429 354810
151620 350090
174552 375216
175834 377424
213574 353218
153197 343319
204769 347601
149364 340967
205259 348039
176491 372675
204221 354560
210792 348631
147403 354990
156716 349997
181488 384760
182373 374807
151019 349038
174439 379998
183895 381422
213609 350632
205765 352178
147665 354273
181711 383393
145042 355878
145585 355327
216473 345314
182908 379531
215572 351618
150574 352057
146050 354495
157533 350713
147858 347583
153631 354222
207748 352235
206088 342571
208728 347255
213763 350839
153447 344982
177485 378726
149058 353464
181112 379193
